ABB_NAME,Offence Count,Rate
 Banyule,"8,485",6455.50
 Brimbank,"19,226",9478.40
 Darebin,"14,726",8931.40
 Hobsons Bay,"5,592",5744.00
 Hume,"20,775",8460.10
 Maribyrnong,"8,842",9414.00
 Melbourne,"35,766",21355.90
 Melton,"13,542",7530.90
 Moonee Valley,"7,932",6064.60
 Moreland,"12,861",6877.00
 Nillumbik,"2,358",3635.30
 Whittlesea,"15,785",6630.30
 Wyndham,"17,428",5996.10
 Yarra,"13,323",13210.40
Total,"196,641",8566.20
 Alpine,531,4053.90
 Bass Coast,"3,164",8199.70
 Baw Baw,"4,873",8668.20
 Benalla,"1,474",10365.70
 Boroondara,"7,267",4080.30
 East Gippsland,"5,086",10558.20
 Greater Shepparton,"9,672",14374.10
 Indigo,622,3633.60
 Knox,"11,074",6740.00
 Latrobe,"12,745",16713.20
 Manningham,"4,668",3663.30
 Mansfield,567,5914.30
 Maroondah,"7,965",6700.50
 Mitchell,"5,138",10585.70
 Moira,"2,438",8137.20
 Monash,"12,713",6411.10
 Murrindindi,919,6158.30
 South Gippsland,"1,907",6245.30
 Strathbogie,611,5519.60
 Towong,223,3631.40
 Wangaratta,"3,108",10643.40
 Wellington,"4,759",10544.50
 Whitehorse,"8,711",4915.20
 Wodonga,"3,412",7907.80
 Yarra Ranges,"8,553",5375.80
Total,"122,200",7094.30
 Bayside,"4,806",4495.00
 Cardinia,"7,191",6073.90
 Casey,"21,168",5729.70
 Frankston,"13,578",9491.70
 Glen Eira,"7,353",4716.80
 Greater Dandenong,"18,318",11145.80
 Kingston,"10,821",6521.50
 Mornington Peninsula,"10,096",5955.90
 Port Phillip,"13,500",11903.00
 Stonnington,"11,445",9912.90
Total,"118,276",7290.40
 Ararat,"1,972",16427.50
 Ballarat,"9,717",8572.50
 Buloke,411,6817.10
 Campaspe,"3,312",8805.50
 Central Goldfields,"1,119",8572.10
 Colac-Otway,"1,521",7033.30
 Corangamite,861,5478.90
 Gannawarra,976,9455.90
 Glenelg,"1,699",8689.30
 Golden Plains,604,2441.60
 Greater Bendigo,"10,985",9007.10
 Greater Geelong,"21,295",7858.60
 Hepburn,596,3682.20
 Hindmarsh,617,11182.80
 Horsham,"2,436",12201.70
 Loddon,575,7693.00
 Macedon Ranges,"2,492",4824.60
 Mildura,"5,979",10723.70
 Moorabool,"2,641",7173.50
 Mount Alexander,889,4412.80
 Moyne,645,3794.80
 Northern Grampians,"1,259",11167.40
 Pyrenees,478,6321.00
 Queenscliffe,99,3280.10
 Southern Grampians,"1,066",6645.10
 Surf Coast,"1,456",4059.10
 Swan Hill,"2,604",12776.40
 Warrnambool,"3,303",9295.90
 West Wimmera,167,4430.70
 Yarriambiack,412,6391.70
Total,"82,186",7922.70
 Justice Institutions and Immigration Facilities,"2,898",
Total,"2,898",
 Unincorporated Vic,52,
Total,52,
 Banyule,"9,692",7345.80
 Brimbank,"20,239",9718.70
 Darebin,"15,162",9110.10
 Hobsons Bay,"6,098",6210.50
 Hume,"21,534",8928.30
 Maribyrnong,"9,392",9888.20
 Melbourne,"35,757",19459.00
 Melton,"13,370",7750.70
 Moonee Valley,"8,635",6553.90
 Moreland,"14,337",7595.30
 Nillumbik,"2,267",3476.00
 Whittlesea,"16,539",6992.10
 Wyndham,"17,558",6197.80
 Yarra,"14,146",13717.30
Total,"204,726",8878.30
 Alpine,595,4586.40
 Bass Coast,"2,591",6919.50
 Baw Baw,"4,797",8740.30
 Benalla,"1,221",8636.90
 Boroondara,"8,802",4809.20
 East Gippsland,"4,963",10399.20
 Greater Shepparton,"8,839",13178.80
 Indigo,563,3334.30
 Knox,"12,138",7349.80
 Latrobe,"13,712",18062.30
 Manningham,"4,722",3662.50
 Mansfield,461,4865.90
 Maroondah,"7,996",6696.80
 Mitchell,"4,694",9851.60
 Moira,"2,446",8148.40
 Monash,"12,064",5886.70
 Murrindindi,837,5709.00
 South Gippsland,"1,667",5511.10
 Strathbogie,568,5167.40
 Towong,225,3687.30
 Wangaratta,"2,501",8565.90
 Wellington,"4,598",10270.30
 Whitehorse,"9,335",5165.00
 Wodonga,"3,847",9017.40
 Yarra Ranges,"8,743",5465.90
Total,"122,925",7085.30
 Bayside,"5,397",5018.60
 Cardinia,"7,241",6231.90
 Casey,"23,594",6471.20
 Frankston,"15,052",10501.10
 Glen Eira,"7,957",5029.20
 Greater Dandenong,"18,924",11240.10
 Kingston,"12,077",7219.10
 Mornington Peninsula,"11,792",6983.20
 Port Phillip,"13,078",11228.10
 Stonnington,"12,149",10242.50
Total,"127,261",7809.80
 Ararat,"1,392",11633.90
 Ballarat,"11,124",9989.10
 Buloke,366,5999.00
 Campaspe,"3,875",10285.30
 Central Goldfields,"1,238",9456.20
 Colac-Otway,"1,781",8221.80
 Corangamite,712,4469.80
 Gannawarra,774,7442.30
 Glenelg,"1,597",8139.20
 Golden Plains,630,2598.00
 Greater Bendigo,"11,226",9356.60
 Greater Geelong,"22,837",8622.10
 Hepburn,849,5254.70
 Hindmarsh,356,6366.20
 Horsham,"2,278",11379.80
 Loddon,488,6530.20
 Macedon Ranges,"2,456",4818.40
 Mildura,"7,512",13429.40
 Moorabool,"2,214",6147.80
 Mount Alexander,"1,102",5509.70
 Moyne,654,3841.00
 Northern Grampians,"1,079",9462.40
 Pyrenees,551,7293.20
 Queenscliffe,115,3823.10
 Southern Grampians,"1,191",7381.90
 Surf Coast,"1,345",3868.20
 Swan Hill,"2,418",11775.60
 Warrnambool,"3,267",9194.30
 West Wimmera,168,4409.40
 Yarriambiack,553,8394.00
Total,"86,148",8401.20
 Justice Institutions and Immigration Facilities,"2,870",
Total,"2,870",
 Unincorporated Vic,158,
Total,158,
 Banyule,"9,155",6954.60
 Brimbank,"18,729",8937.00
 Darebin,"14,556",8863.50
 Hobsons Bay,"6,265",6408.20
 Hume,"21,059",9017.10
 Maribyrnong,"8,274",8850.90
 Melbourne,"34,236",19126.90
 Melton,"11,273",6834.80
 Moonee Valley,"7,896",6059.30
 Moreland,"14,247",7667.50
 Nillumbik,"2,149",3301.10
 Whittlesea,"16,038",6964.10
 Wyndham,"15,328",5664.30
 Yarra,"13,180",12983.20
Total,"192,385",8520.90
 Alpine,601,4690.90
 Bass Coast,"2,448",6741.00
 Baw Baw,"4,714",8828.70
 Benalla,"1,292",9206.20
 Boroondara,"7,266",3966.20
 East Gippsland,"4,559",9636.80
 Greater Shepparton,"8,808",13244.90
 Indigo,572,3425.40
 Knox,"11,044",6711.50
 Latrobe,"14,273",18891.40
 Manningham,"4,720",3699.50
 Mansfield,453,4937.30
 Maroondah,"8,239",6948.70
 Mitchell,"4,523",9814.00
 Moira,"2,338",7814.20
 Monash,"10,548",5198.70
 Murrindindi,738,5065.90
 South Gippsland,"1,583",5292.50
 Strathbogie,657,6095.80
 Towong,205,3394.60
 Wangaratta,"2,362",8093.50
 Wellington,"4,257",9592.60
 Whitehorse,"8,576",4797.00
 Wodonga,"3,293",7825.00
 Yarra Ranges,"8,488",5322.50
Total,"116,557",6777.40
 Bayside,"4,844",4533.20
 Cardinia,"6,411",5715.00
 Casey,"21,503",6074.90
 Frankston,"14,376",10078.20
 Glen Eira,"6,681",4268.10
 Greater Dandenong,"18,125",10772.00
 Kingston,"11,621",7008.90
 Mornington Peninsula,"10,640",6347.70
 Port Phillip,"12,339",10672.00
 Stonnington,"10,530",8940.70
Total,"117,070",7283.80
 Ararat,"1,302",10992.90
 Ballarat,"10,878",9933.90
 Buloke,253,4132.00
 Campaspe,"4,125",10966.40
 Central Goldfields,"1,316",9983.30
 Colac-Otway,"1,593",7388.00
 Corangamite,672,4195.50
 Gannawarra,895,8549.00
 Glenelg,"1,433",7284.80
 Golden Plains,602,2537.70
 Greater Bendigo,"11,248",9524.90
 Greater Geelong,"20,725",8003.80
 Hepburn,796,4983.40
 Hindmarsh,360,6444.70
 Horsham,"2,725",13679.70
 Loddon,481,6411.60
 Macedon Ranges,"2,496",4969.10
 Mildura,"7,201",12909.90
 Moorabool,"2,221",6336.50
