LGA,Region,Crimes against the person,Property and deception offences,Drug Offences,Public order and security offences,Justice procedures offences,Other offences
Alpine,Regional,1061.2,1152.8,297.7,503.9,832.2,213.8
Ararat,Regional,3457.1,4590,1182.9,1507.8,5139.8,549.8
Ballarat,Regional,1377.1,4491.4,336.1,464.9,1660.3,242.6
Banyule,Metro,865.8,3184.4,624.6,343.1,1116.9,321.1
Bass Coast,Regional,2153.6,3104.7,308.4,365.4,2114.7,155.5
Baw Baw,Regional,1915.8,3098.7,747.1,572.8,1917.6,416.2
Bayside,Metro,593,2665.6,242.2,184.3,559.3,250.7
Benalla,Regional,2095.6,3832.6,689.2,1005.6,2531.6,211
Boroondara,Metro,489.6,2806.8,161.7,147.7,317.8,156.7
Brimbank,Metro,1293.6,4934.4,688.7,479.7,1337,744.9
Buloke,Regional,1210.8,1758.2,248.8,165.9,3002.2,431.3
Campaspe,Regional,1385.2,3815.2,449.3,470.6,2283.8,401.5
Cardinia,Metro,979.8,2843.9,311.7,306.6,1038.1,593.8
Casey,Metro,1070.8,2639.7,428.8,276.6,956.3,357.6
Central Goldfields,Regional,1922.8,2849.7,812,873.3,1930.4,183.9
Colac Otway,Regional,1507,2436,591,559.2,1595,346
Corangamite,Regional,1126.3,2290,286,400,1062,311
Darebin,Metro,1108.3,4919.4,775.3,502.6,1028.6,598.6
East Gippsland,Regional,2470,3763,811,774,2482,255
Frankston,Metro,1463,3729,988,724,1813,773
Gannawarra,Regional,1472,3022,784,1017,2596,561
Glen Eira,Metro,624,2694,325,182,578,311
Glenelg,Regional,2316,2782,537,1068,1549,434
Golden Plains,Regional,533,1289,84,93,412,28
Greater Bendigo,Regional,1529,4176,507,567,2044,181
Greater Dandenong,Metro,1704,5422,780,590,1579,1069
Greater Geelong,Regional,1314,3925,495,494,1391,237
Greater Shepparton,Regional,2516,5420,789,658,4687,301
Hepburn,Regional,685,2057,98,271,469,92
Hindmarsh,Regional,1558,3588,308,525,4966,235
Hobsons Bay,Metro,854,3102,343,289,677,476
Horsham,Regional,2810,3105,586,631,4738,330
Hume,Metro,1538,3725,599,430,1354,811
Indigo,Regional,771,1711,163,309,566,111
Kingston,Metro,1013,3430,404,271,1029,372
Knox,Metro,1012,3338,792,361,938,296
Latrobe,Regional,3232,6354,1531,1437,3809,347
Loddon,Regional,1444,3090,321,535,1940,361
Macedon Ranges,Regional,888,1872,400,282,849,532
Manningham,Metro,592,2304,197,118,297,152
Mansfield,Regional,938,1731,406,938,1210,688
Maribyrnong,Metro,1111,6004,520,510,638,628
Maroondah,Metro,1099,3015,581,448,1310,245
Melbourne,Metro,2660,10455,1866,1590,1948,2835
Melton,Metro,1439,3466,414,388,1397,424
Mildura,Regional,2168,4205,999,929,2243,175
Mitchell,Regional,3232,3111,626,480,2717,418
Moira,Regional,1208,3367,710,427,2112,310
Monash,Metro,979,3584,450,281,718,397
Moonee Valley,Metro,809,3377,366,256,733,520
Moorabool,Regional,1053,3186,429,450,1100,956
Moreland,Metro,929,4092,375,273,788,417
Mornington Peninsula,Metro,965,2418,459,359,1268,484
Mount Alexander,Regional,759,1980,362,347,824,144
Moyne,Regional,911,1517,158,247,800,158
Murrindindi,Regional,1474,2171,321,375,1326,489
Nilumbik,Metro,564,1967,188,231,542,141
Northern Grampians,Regional,2359,3131,1259,1055,2856,505
Port Phillip,Metro,1609,6555,844,672,1233,976
Pyrenees,Regional,1375,2710,251,568,1005,409
Queenscliffe,Regional,530,2021,99.4,132,99,397
South Gippsland,Regional,1509,2420,245,258,1650,160
Southern Grampians,Regional,1546,2368,542,430,1496,268
Stonnington,Metro,1186,5979,641,510,765,828
Strathbogie,Regional,1183,2484,298,180,1084,298
Surf Coast,Regional,685,2252,136,267,568,147
Swan Hill,Regional,2855,3728,863,1010,3468,848
Towong,Regional,797,1612,146,195,846,32
Wangaratta,Regional,1568,5020,777,684,2256,335
Warrnambool,Regional,1891,3717,650,650,2040,349
Wellington,Regional,2306,3421,735,673,3237,170
West Wimmera,Regional,1671,1485,185,318,530,265
Whitehorse,Metro,716,2900,291,187,545,275
Whittlesea,Metro,1190,3115,528,316,1086,393
Wodonga,Regional,1423,3418,655,486,1471,454
Wyndham,Metro,1135,3025,306,274,830,422
Yarra,Metro,1669,7607,999,809,1136,987
Yarra Ranges,Metro,923,2462,385,266,920,416
Yarriambiack,Regional,1597,2420,232,465,1318,356
